,n1,n2,n3,n4,block_type,time
224,3,47,24,7,1,0.8775794506072998
225,14,40,192,8,1,2.5317323207855225
226,6,32,36,14,1,0.9935910701751709
227,2,21,12,7,0,0.4160037040710449
228,4,31,25,19,1,0.8742983341217041
229,9,33,13,20,1,0.8984131813049316
230,5,20,11,8,0,0.7350368499755859
231,9,18,211,3,1,2.3320789337158203
232,11,36,72,14,1,1.4209864139556885
233,7,14,150,8,1,1.7773637771606445
234,13,15,61,5,1,1.013993501663208
235,7,41,183,1,1,2.2707271575927734
236,5,21,33,4,0,0.589496374130249
237,19,12,68,20,1,1.31858491897583
238,17,44,32,18,1,1.2397472858428955
239,7,37,80,8,1,1.3609726428985596
240,11,4,184,8,1,2.0353074073791504
241,6,38,11,6,1,0.713963508605957
242,1,9,168,12,1,1.8497259616851807
243,3,47,156,2,1,2.024257183074951
244,8,46,178,5,1,2.359076499938965
245,3,7,32,8,1,0.5830411911010742
246,20,8,43,5,1,0.8604393005371094
247,8,12,46,2,1,0.7197134494781494
248,19,14,133,3,1,1.711184024810791
249,15,37,165,13,1,2.3233485221862793
250,2,10,175,9,1,2.005756378173828
251,8,25,130,19,1,1.8750433921813965
252,12,24,168,13,1,2.1833407878875732
253,6,46,34,1,1,0.9551396369934082
254,4,44,166,14,1,2.291172981262207
255,1,37,22,3,1,0.6844027042388916
256,11,23,211,14,1,2.5435121059417725
257,10,19,153,18,1,2.0266222953796387
258,13,32,23,13,1,0.9910972118377686
259,17,2,28,10,1,0.6743824481964111
260,6,28,211,19,1,2.6254310607910156
261,1,6,189,15,1,2.0684192180633545
262,3,24,176,20,1,2.361213445663452
263,3,42,100,1,1,1.4663946628570557
264,17,9,20,3,0,0.4828617572784424
265,16,12,195,15,1,2.4081039428710938
266,10,27,41,11,1,1.0013670921325684
267,13,11,20,13,0,0.5699472427368164
268,18,15,142,12,1,1.8899540901184082
269,3,24,109,12,1,1.4967632293701172
270,3,6,108,12,1,1.323470115661621
271,13,28,151,12,1,2.9125916957855225
272,2,25,7,8,1,0.5112640857696533
273,7,33,74,16,1,1.351428508758545
274,15,34,8,14,1,0.8366682529449463
275,19,5,117,15,1,1.6142456531524658
276,13,12,143,8,1,1.7852027416229248
277,14,40,117,10,1,1.8631272315979004
278,2,13,177,13,1,1.9893875122070312
279,17,18,10,11,0,0.5725698471069336
280,5,26,64,11,1,1.0938189029693604
281,11,6,28,12,1,0.6724865436553955
282,19,7,16,9,0,0.5094859600067139
283,9,11,200,18,1,2.352581262588501
284,20,19,8,9,1,0.7252805233001709
285,7,47,176,10,1,2.3670973777770996
286,2,39,167,20,1,2.286066770553589
287,8,21,199,11,1,2.3921146392822266
288,18,46,179,9,1,2.550657033920288
289,15,36,20,16,1,1.045668363571167
290,9,14,130,6,1,1.5696079730987549
291,19,43,86,11,1,1.6604416370391846
292,4,8,168,7,1,1.8158414363861084
293,13,15,20,5,1,0.6504793167114258
294,8,15,89,2,1,1.1524922847747803
295,11,28,46,19,1,1.128406286239624
296,4,16,151,11,1,1.7813072204589844
297,16,15,189,15,1,2.391406536102295
298,18,35,71,14,1,1.5108153820037842
299,14,15,207,15,1,2.5078811645507812
300,9,4,174,4,1,1.9103918075561523
301,15,16,197,15,1,2.440992832183838
302,7,12,100,9,1,1.31154203414917
303,8,40,31,13,1,1.0148324966430664
304,6,30,198,5,1,2.3186142444610596
305,7,34,152,12,1,2.075523614883423
306,9,17,52,20,1,1.1070733070373535
307,18,24,12,20,1,0.9025423526763916
308,14,37,116,10,1,1.7798476219177246
309,14,29,175,12,1,2.2852344512939453
310,8,30,67,13,1,1.2664158344268799
311,1,47,114,7,1,1.6618406772613525
312,6,19,40,18,1,1.188044548034668
313,18,22,7,12,0,0.5832855701446533
314,5,33,131,3,1,1.6883840560913086
315,6,29,183,13,1,2.253913640975952
316,5,32,180,19,1,2.3572866916656494
317,13,7,151,1,1,1.7457771301269531
318,10,47,133,17,1,2.1056103706359863
319,19,36,190,13,1,2.5958075523376465
320,18,12,114,9,1,1.601675271987915
321,10,18,68,14,1,1.1606311798095703
322,16,33,169,7,1,2.213945150375366
323,3,39,186,10,1,2.3044700622558594
324,19,16,117,2,1,1.6061794757843018
325,13,31,24,13,1,0.9317455291748047
326,3,35,83,9,1,1.312145709991455
327,12,43,20,13,1,1.007106065750122
328,20,36,141,15,1,2.1987011432647705
329,3,43,203,7,1,3.1033244132995605
330,16,25,125,1,1,3.5753345489501953
331,20,22,152,4,1,2.0104928016662598
332,19,37,75,20,1,1.6418662071228027
333,20,44,48,2,1,1.232011318206787
334,20,2,6,5,1,0.47368550300598145
335,12,5,14,3,1,0.43546366691589355
336,16,42,34,17,1,1.2012288570404053
337,18,35,42,20,1,1.2871055603027344
338,19,22,132,17,1,1.939828634262085
339,7,14,66,14,1,1.0803673267364502
340,1,23,167,20,1,2.114365577697754
341,4,9,81,8,1,1.0913817882537842
342,18,8,132,3,1,1.6266443729400635
343,4,38,78,5,1,1.2689933776855469
344,9,5,175,13,1,2.0139541625976562
345,8,2,28,7,1,0.5405573844909668
346,6,18,105,18,1,1.5196540355682373
347,11,20,167,4,1,1.9960722923278809
348,3,25,18,1,0,0.4470560550689697
349,3,39,31,10,1,0.883845329284668
350,15,16,203,6,1,2.3742778301239014
351,1,42,168,3,1,2.186091423034668
352,15,17,7,13,1,0.7176566123962402
353,15,11,35,1,0,0.5831823348999023
354,9,33,129,11,1,1.8659026622772217
355,16,43,111,18,1,1.973606824874878
356,16,3,12,12,1,0.6011509895324707
357,14,37,55,17,1,1.345430850982666
358,10,4,65,14,1,1.01932954788208
359,17,4,135,16,1,1.8133318424224854
360,16,39,113,2,1,1.7642700672149658
361,20,2,29,6,1,0.7144417762756348
362,3,39,115,5,1,1.662074327468872
363,20,26,169,11,1,2.3425259590148926
364,8,9,74,13,1,1.1284282207489014
365,16,18,24,7,1,0.7942714691162109
366,7,46,181,8,1,2.4052979946136475
367,8,17,114,4,1,1.4480609893798828
368,2,29,181,18,1,2.2773032188415527
369,17,29,198,2,1,2.5247879028320312
370,8,36,213,18,1,2.859502077102661
371,8,46,75,18,1,1.6045386791229248
372,8,44,4,8,1,0.7671749591827393
373,18,8,119,14,1,1.6393015384674072
374,6,46,67,16,1,1.4202179908752441
375,18,45,106,15,1,1.9683268070220947
376,5,26,101,1,1,1.3420846462249756
377,18,30,143,7,1,1.9941649436950684
378,4,47,155,16,1,2.2197251319885254
379,10,33,143,18,1,2.171405792236328
380,4,31,72,4,1,1.1513011455535889
381,3,2,209,2,1,2.08432674407959
382,9,29,61,18,1,1.3509235382080078
383,3,11,117,18,1,1.58371901512146
384,3,15,114,4,1,1.4152212142944336
385,15,31,169,7,1,2.3171141147613525
386,19,22,71,2,1,1.2785403728485107
387,20,16,84,12,1,1.495173454284668
388,14,45,70,8,1,1.4874088764190674
389,20,25,109,18,1,1.9129605293273926
390,1,4,160,8,1,1.78273344039917
391,17,36,102,15,1,1.8716297149658203
392,9,12,196,12,1,3.304992198944092
393,3,9,134,16,1,1.7576920986175537
394,18,34,180,10,1,2.528393030166626
395,2,38,108,18,1,1.7893459796905518
396,13,16,26,9,0,0.6695764064788818
397,18,46,101,18,1,1.9043986797332764
398,3,3,44,15,1,0.7351169586181641
399,17,36,8,8,1,0.8304829597473145
400,14,16,152,19,1,2.0477511882781982
401,16,31,33,18,1,1.1243948936462402
402,5,24,133,15,1,1.769467830657959
403,18,18,174,9,1,2.1861560344696045
404,11,40,83,17,1,1.6213743686676025
405,8,34,56,14,1,1.2102856636047363
406,16,44,40,2,1,1.098250389099121
407,10,5,63,8,1,0.9235403537750244
408,12,36,27,7,1,0.899899959564209
409,10,26,7,12,0,0.5465207099914551
410,6,40,176,17,1,2.3765575885772705
411,1,31,22,6,1,0.6800944805145264
412,2,25,161,16,1,2.0100555419921875
413,3,43,7,7,1,0.6928591728210449
414,15,12,54,20,1,1.132115125656128
415,9,18,77,5,1,1.109778642654419
416,11,21,122,17,1,1.7514288425445557
417,13,15,53,20,1,1.131812334060669
418,20,4,31,5,1,0.7215087413787842
419,16,22,120,7,1,1.687727928161621
420,10,9,64,12,1,1.0282924175262451
421,10,12,65,7,1,0.9877119064331055
422,7,19,149,5,1,1.7535312175750732
423,12,36,165,20,1,2.3655266761779785
424,6,16,151,3,1,1.7356040477752686
425,5,43,61,2,1,1.1517632007598877
426,6,5,25,9,0,0.4543266296386719
427,6,2,110,17,1,1.3651504516601562
428,7,6,14,18,1,0.5650241374969482
429,10,34,108,14,1,1.7059073448181152
430,5,13,141,13,1,1.7235186100006104
431,6,8,65,13,1,0.9870929718017578
432,7,26,147,10,1,2.3575549125671387
433,8,28,186,7,1,2.689074754714966
434,10,26,149,3,1,2.116217613220215
435,11,14,197,16,1,2.9486887454986572
436,16,6,212,15,1,2.526663064956665
437,18,21,88,8,1,1.5319461822509766
438,6,41,51,13,1,1.1846263408660889
439,11,36,207,2,1,2.5037293434143066
440,12,30,208,11,1,2.5746564865112305
441,9,18,144,7,1,1.828416347503662
442,1,11,51,17,1,0.8775086402893066
443,13,4,198,16,1,2.2862062454223633
444,6,4,210,17,1,2.3757331371307373
445,8,20,17,19,0,0.8100645542144775
446,11,16,212,14,1,2.518615484237671
447,9,16,78,17,1,1.3366546630859375
448,10,33,84,17,1,1.5072343349456787
449,3,32,19,20,1,0.8534886837005615
450,19,37,96,12,1,1.7220730781555176
451,13,39,19,13,1,0.9630093574523926
452,20,3,210,18,1,2.5278196334838867
453,11,47,127,16,1,2.0753350257873535
454,14,25,145,14,1,2.038050413131714
455,9,46,80,8,1,1.4779448509216309
456,14,46,60,6,1,1.3323326110839844
457,3,6,1,11,0,0.2607870101928711
458,1,24,110,12,1,1.466942310333252
459,5,37,142,4,1,1.8507397174835205
460,14,14,183,19,1,2.3500869274139404
461,10,31,113,7,1,1.6500742435455322
462,20,39,25,6,1,1.0374178886413574
463,19,46,58,4,1,1.3415780067443848
464,19,30,8,11,1,0.8195910453796387
465,2,5,195,2,1,1.9384419918060303
466,12,3,58,19,1,1.0356924533843994
467,16,45,199,1,1,2.594053268432617
468,7,26,121,10,1,1.6647820472717285
469,10,3,145,15,1,1.7400391101837158
470,4,40,77,12,1,1.3583924770355225
471,12,39,90,3,1,1.4688506126403809
472,1,32,118,8,1,1.5812633037567139
473,18,4,199,5,1,2.2578766345977783
474,13,26,200,2,1,2.6312143802642822
475,20,44,53,16,1,1.487332820892334
476,20,29,41,7,1,1.0854132175445557
477,11,32,152,7,1,1.9990708827972412
478,2,33,15,15,1,0.7570605278015137
479,18,35,201,10,1,2.6364047527313232
480,10,25,135,9,1,1.8334522247314453
481,13,4,47,12,1,0.8668875694274902
482,17,4,127,3,1,1.5090670585632324
483,9,44,153,15,1,2.2056925296783447
484,16,4,108,14,1,1.4869608879089355
485,13,2,13,6,1,0.4577503204345703
486,11,28,136,15,1,1.9005537033081055
487,4,17,43,12,1,0.826927900314331
488,8,37,175,20,1,2.379410982131958
489,12,10,108,19,1,1.5856208801269531
490,15,45,183,4,1,2.4445016384124756
491,5,2,131,3,1,1.3856492042541504
492,5,47,122,2,1,1.7304584980010986
493,10,16,190,7,1,2.1568603515625
494,1,36,19,2,1,0.6458308696746826
495,4,7,155,6,1,1.667074203491211
496,19,21,17,12,0,0.6826045513153076
497,13,35,83,12,1,1.4788575172424316
498,5,13,106,3,1,1.2737042903900146
499,8,13,22,12,0,0.550269603729248
500,3,33,97,10,1,1.423203706741333
501,17,47,6,1,1,0.8160960674285889
502,10,10,103,12,1,1.399116039276123
503,14,16,108,13,1,1.559640884399414
504,11,47,31,17,1,1.1760509014129639
505,11,5,96,14,1,1.3233208656311035
506,11,24,95,18,1,1.5601401329040527
507,8,6,56,19,1,0.9781310558319092
508,4,15,194,20,1,2.2995684146881104
509,15,16,150,15,1,2.0181884765625
510,1,20,1,17,0,0.48534464836120605
511,18,14,84,9,1,1.3200676441192627
512,13,42,67,10,1,1.370786190032959
513,14,15,68,19,1,1.4736032485961914
514,1,25,28,14,0,0.6695375442504883
515,1,9,11,1,1,0.2696242332458496
516,6,15,121,17,1,1.6020843982696533
517,3,5,132,19,1,1.625788927078247
518,7,16,2,5,0,0.33643317222595215
519,13,46,51,19,1,1.4641764163970947
520,8,28,118,9,1,1.9469993114471436
521,13,36,11,10,1,0.8211812973022461
522,17,9,7,1,1,0.47278881072998047
523,3,12,34,14,0,0.5985238552093506
524,6,24,35,8,1,0.7954006195068359
525,16,39,35,8,1,1.072638750076294
526,5,16,185,7,1,2.0838332176208496
527,4,35,143,4,1,1.953904628753662
528,9,43,44,16,1,1.2207226753234863
529,2,30,48,7,1,0.9173564910888672
530,7,10,90,1,1,1.078533411026001
531,9,32,146,9,1,1.9451122283935547
532,6,10,132,4,1,1.5099539756774902
533,1,14,114,6,1,1.3404629230499268
534,14,44,194,3,1,2.5428895950317383
535,7,32,204,6,1,2.4756901264190674
536,16,21,205,5,1,2.4855635166168213
537,4,5,57,5,1,0.7854757308959961
538,18,40,202,17,1,2.9147486686706543
539,16,15,36,2,1,0.8061983585357666
540,20,45,57,19,1,1.539092779159546
541,10,26,92,13,1,1.480741024017334
542,15,26,196,10,1,2.4418652057647705
543,1,28,128,11,1,1.6768805980682373
544,3,34,73,10,1,1.239459753036499
545,14,17,128,19,1,1.8372035026550293
546,18,45,113,6,1,1.8596060276031494
547,19,31,152,15,1,2.201549768447876
548,8,22,137,16,1,1.8491692543029785
549,19,33,43,10,1,1.1883692741394043
550,10,35,75,18,1,1.4451055526733398
551,13,42,105,16,1,1.7885942459106445
552,8,14,68,1,1,0.9510793685913086
553,4,39,122,8,1,1.6779253482818604
554,6,19,205,17,1,2.4069340229034424
555,11,27,9,1,1,0.6113348007202148
556,9,8,187,14,1,2.1288821697235107
557,12,42,146,18,1,2.1961119174957275
558,5,28,105,8,1,1.508070707321167
559,2,26,153,16,1,1.9230740070343018
560,1,23,82,18,1,1.2892968654632568
561,11,47,58,12,1,1.4956161975860596
562,18,22,137,5,1,1.8116600513458252
563,6,13,134,5,1,1.558319091796875
564,16,10,158,10,1,1.9276707172393799
565,19,2,162,16,1,1.9956939220428467
566,2,4,28,6,1,0.48313260078430176
567,4,20,115,16,1,1.53812837600708
568,16,8,23,13,0,0.5965735912322998
569,8,39,50,1,1,1.0090487003326416
570,4,36,69,8,1,1.1967453956604004
571,15,28,81,19,1,1.510956048965454
572,19,12,142,5,1,1.785470724105835
573,15,31,77,13,1,1.4207897186279297
574,1,40,109,4,1,1.4919085502624512
575,6,16,26,4,1,0.5929653644561768
576,16,10,182,20,1,2.2775471210479736
577,4,32,77,9,1,1.2539138793945312
578,1,35,160,16,1,2.0589661598205566
579,3,10,132,9,1,1.505432367324829
580,4,5,91,17,1,1.2010612487792969
581,12,16,40,11,1,0.8723011016845703
582,18,34,175,4,1,2.2711594104766846
583,15,30,145,11,1,2.0021414756774902
584,20,2,209,16,1,2.460268497467041
585,8,31,124,10,1,1.7519173622131348
586,9,8,207,10,1,2.2678463459014893
587,20,24,16,2,0,0.6120562553405762
588,16,3,40,2,1,0.6788952350616455
589,6,2,123,17,1,1.4913527965545654
590,12,10,65,10,1,1.0310142040252686
591,3,30,132,13,1,1.7451605796813965
592,9,37,99,8,1,1.5474958419799805
593,8,8,32,19,0,0.6749770641326904
594,14,2,66,6,1,0.9409010410308838
595,12,23,123,8,1,1.6571733951568604
596,11,26,103,5,1,1.4517366886138916
597,7,19,50,14,1,0.9654667377471924
598,15,11,24,4,1,0.6284074783325195
599,1,44,43,13,1,1.0439462661743164
600,10,35,134,14,1,1.92802095413208
601,12,26,98,14,1,1.577209234237671
602,4,6,78,3,1,0.9183547496795654
603,17,42,67,6,1,1.386268138885498
604,7,7,170,19,1,1.9819703102111816
605,13,20,17,2,1,0.62626051902771
606,20,27,81,2,1,1.355499505996704
607,5,5,35,17,0,0.8108425140380859
608,16,25,108,7,1,1.5827772617340088
609,2,28,27,8,1,0.7095098495483398
610,11,38,73,20,1,1.4815330505371094
611,15,44,58,9,1,1.327458381652832
612,7,31,49,1,1,0.916750431060791
613,8,3,59,12,1,0.8792150020599365
614,4,46,33,4,1,0.9032707214355469
615,6,14,33,14,1,0.7397890090942383
616,14,22,5,13,1,0.6668038368225098
617,18,46,56,7,1,1.3557586669921875
618,3,22,208,19,1,2.469788074493408
619,10,25,87,3,1,1.2922987937927246
620,14,30,190,1,1,2.2796647548675537
621,12,29,124,5,1,1.7014167308807373
622,12,13,1,17,0,0.4712951183319092
623,16,5,19,15,1,0.6644530296325684
624,3,25,110,9,1,1.435683012008667
625,8,7,106,20,1,1.4374020099639893
626,3,20,153,20,1,1.9678308963775635
627,17,6,166,19,1,2.1443912982940674
628,8,15,86,11,1,1.2746965885162354
629,10,29,19,19,1,0.8794164657592773
630,20,29,133,5,1,1.8805789947509766
631,4,40,40,1,1,0.9007091522216797
632,11,10,28,15,1,0.7280600070953369
633,20,29,52,3,1,1.1039202213287354
634,18,5,20,10,0,0.5155730247497559
635,2,22,102,1,1,1.2446374893188477
636,1,39,56,12,1,1.1016826629638672
637,10,44,189,2,1,2.3457815647125244
638,8,15,180,13,1,2.142921209335327
639,18,46,67,15,1,1.5841166973114014
640,3,34,46,7,1,0.9266343116760254
641,6,28,22,8,1,0.7088840007781982
642,3,47,69,12,1,1.3153235912322998
643,6,18,142,1,1,1.6052868366241455
644,18,28,35,9,1,1.0042240619659424
645,5,40,136,6,1,1.8317656517028809
646,8,46,129,19,1,2.0329718589782715
647,10,23,16,2,0,0.4952704906463623
648,12,15,71,15,1,1.1842820644378662
649,1,22,78,7,1,1.0630486011505127
650,3,18,25,13,1,0.6620209217071533
651,19,6,14,13,1,0.6460824012756348
652,13,35,173,3,1,2.1847469806671143
653,17,25,37,2,1,0.9040341377258301
654,19,29,80,15,1,1.499634027481079
655,6,9,102,9,1,1.252352237701416
656,18,28,162,18,1,2.2840709686279297
657,7,16,30,2,0,0.5258986949920654
658,11,7,152,5,1,2.60127592086792
659,12,6,20,14,0,0.5473637580871582
660,17,27,105,13,1,1.6847546100616455
661,12,14,5,7,1,0.49941205978393555
662,2,42,179,1,1,2.19443941116333
663,20,44,31,16,1,1.2527992725372314
664,2,20,99,11,1,1.3321890830993652
665,6,4,84,5,1,1.0187947750091553
666,18,36,201,10,1,2.626300096511841
667,16,19,8,4,1,0.6172471046447754
668,20,47,89,18,1,1.8503949642181396
669,13,39,151,5,1,2.0598251819610596
670,9,28,102,2,1,1.4154486656188965
