,n1,n2,n3,n4,block_type,nf,time
121,4,13,19,8,1,21,0.1311643918355306
122,2,7,49,9,1,41,0.3999369144439697
123,9,17,28,8,1,78,1.100596268971761
124,9,1,85,11,1,176,7.9768320719401045
125,7,15,43,2,1,27,0.26819467544555664
126,13,8,11,5,0,111,1.1341439088185628
127,9,31,100,13,1,111,4.684908866882324
128,13,21,94,6,1,41,0.9628223578135172
129,11,27,13,8,1,78,1.0939447085062664
130,1,23,52,3,1,191,6.341479142506917
131,13,1,25,11,0,50,0.41717155774434406
132,11,19,82,6,1,27,0.4011452992757161
133,2,9,3,10,0,78,0.4437079429626465
134,9,2,11,5,0,191,2.2990336418151855
135,10,9,37,5,1,2,0.034701267878214516
136,12,5,37,13,1,21,0.18268179893493652
137,4,27,97,5,1,15,0.2206865151723226
138,12,7,1,11,1,78,0.679930051167806
139,9,27,43,6,1,10,0.11122520764668782
140,12,15,31,5,1,58,0.7147525151570638
141,9,13,40,7,1,162,4.3714540004730225
142,1,7,58,7,1,34,0.33459949493408203
143,11,5,46,1,1,162,3.8945274353027344
144,10,27,103,6,1,88,2.901376803716024
145,8,29,109,8,1,176,11.646049499511719
146,13,9,43,4,1,21,0.2734973430633545
147,1,3,136,2,1,6,0.2461871306101481
148,4,25,22,12,1,2,0.03712566693623861
149,4,31,70,5,1,191,8.95725679397583
150,7,5,40,3,1,123,2.1430919965108237
151,5,6,9,5,0,15,0.04325222969055176
152,11,15,7,8,0,58,0.43289510409037274
153,1,17,11,6,0,10,0.03899486859639486
154,2,12,9,1,0,123,1.273513634999593
155,3,29,61,1,1,149,4.81795350710551
156,2,9,73,8,1,191,7.53760838508606
157,4,19,118,4,1,123,5.338234186172485
158,7,4,11,6,0,21,0.09911576906840007
159,10,5,118,6,1,3,0.0683123270670573
160,1,5,34,4,1,88,0.9349236488342285
161,1,29,58,6,1,136,4.064680576324463
162,11,1,82,8,1,136,4.486204783121745
163,12,21,124,3,1,162,9.667153596878052
164,3,25,85,7,1,2,0.1338187058766683
165,10,17,1,12,1,50,0.4089497725168864
166,13,5,136,13,1,34,0.74496857325236
167,2,9,91,5,1,41,0.6192928949991862
168,3,7,82,1,1,27,0.30086549123128253
169,4,15,58,13,1,78,1.541968584060669
170,1,5,49,9,1,15,0.11318103472391765
171,10,25,25,5,1,88,1.385818878809611
172,5,1,16,5,1,68,0.4363562266031901
173,11,7,100,12,1,34,0.5856095949808756
174,6,8,23,11,0,58,0.4908662637074788
175,9,7,106,2,1,15,0.20746763547261557
176,13,29,13,8,1,6,0.06621575355529785
177,5,7,106,9,1,1,0.046895345052083336
178,4,9,61,2,1,99,1.9139490127563477
179,11,9,127,4,1,3,0.07540623346964519
180,6,17,133,6,1,6,0.11405134201049805
181,1,9,79,3,1,58,0.9036597410837809
182,12,13,115,4,1,58,1.4312387307484944
183,11,9,88,7,1,149,6.088904778162639
184,1,29,103,2,1,6,0.14127437273661295
185,7,21,103,4,1,1,0.05401420593261719
186,13,5,133,10,1,162,12.06119171778361
187,11,27,55,13,1,99,2.821341594060262
188,3,1,1,12,1,162,1.5545543034871419
189,1,29,133,13,1,58,1.7247686386108398
190,9,13,97,12,1,1,0.0526120662689209
191,9,15,40,6,1,15,0.1385972499847412
192,13,29,67,6,1,21,0.29595947265625
